positionText,points,wins,constructorId,url,name,nationality,season,round
-,0,5,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,1955,7
-,0,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,1955,7
-,0,1,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American,1955,7
-,0,0,lancia,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,Lancia,Italian,1955,7
-,0,0,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian,1955,7
-,0,0,kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American,1955,7
-,0,0,gordini,http://en.wikipedia.org/wiki/Gordini,Gordini,French,1955,7
-,0,0,vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British,1955,7
-,0,0,trevis,http://en.wikipedia.org/wiki/Trevis,Trevis,American,1955,7
-,0,0,epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American,1955,7
-,0,0,cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British,1955,7
-,0,0,connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British,1955,7
-,0,0,phillips,http://en.wikipedia.org/wiki/Phillips_(constructor),Phillips,American,1955,7
-,0,0,schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor),Schroeder,American,1955,7
-,0,0,hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British,1955,7
-,0,0,pawl,http://en.wikipedia.org/wiki/Pawl_(constructor),Pawl,American,1955,7
-,0,0,arzani-volpini,http://en.wikipedia.org/wiki/Arzani-Volpini,Arzani-Volpini,Italian,1955,7
-,0,0,stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),Stevens,American,1955,7
-,0,0,pankratz,http://en.wikipedia.org/wiki/Pankratz,Pankratz,American,1955,7
