position,positionText,points,wins,driverId,permanentNumber,code,url,givenName,familyName,dateOfBirth,nationality,constructorId,cons_url,cons_name,cons_nationality
1,1,100,8,hakkinen,,,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen,Mika,Häkkinen,1968-09-28,Finnish,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
2,2,86,6,michael_schumacher,,MSC,http://en.wikipedia.org/wiki/Michael_Schumacher,Michael,Schumacher,1969-01-03,German,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
3,3,56,1,coulthard,,COU,http://en.wikipedia.org/wiki/David_Coulthard,David,Coulthard,1971-03-27,British,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
4,4,47,0,irvine,,,http://en.wikipedia.org/wiki/Eddie_Irvine,Eddie,Irvine,1965-11-10,British,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
5,5,21,0,villeneuve,,VIL,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Jacques,Villeneuve,1971-04-09,Canadian,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
6,6,20,1,damon_hill,,,http://en.wikipedia.org/wiki/Damon_Hill,Damon,Hill,1960-09-17,British,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
7,7,17,0,frentzen,,,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,Heinz-Harald,Frentzen,1967-05-18,German,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
8,8,17,0,wurz,,WUR,http://en.wikipedia.org/wiki/Alexander_Wurz,Alexander,Wurz,1974-02-15,Austrian,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
9,9,16,0,fisichella,,FIS,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Giancarlo,Fisichella,1973-01-14,Italian,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
10,10,14,0,ralf_schumacher,,SCH,http://en.wikipedia.org/wiki/Ralf_Schumacher,Ralf,Schumacher,1975-06-30,German,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
11,11,9,0,alesi,,,http://en.wikipedia.org/wiki/Jean_Alesi,Jean,Alesi,1964-06-11,French,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
12,12,4,0,barrichello,,BAR,http://en.wikipedia.org/wiki/Rubens_Barrichello,Rubens,Barrichello,1972-05-23,Brazilian,stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British
13,13,3,0,salo,,,http://en.wikipedia.org/wiki/Mika_Salo,Mika,Salo,1966-11-30,Finnish,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
14,14,3,0,diniz,,,http://en.wikipedia.org/wiki/Pedro_Diniz,Pedro,Diniz,1970-05-22,Brazilian,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
15,15,1,0,herbert,,,http://en.wikipedia.org/wiki/Johnny_Herbert,Johnny,Herbert,1964-06-25,British,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
16,16,1,0,trulli,,TRU,http://en.wikipedia.org/wiki/Jarno_Trulli,Jarno,Trulli,1974-07-13,Italian,prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French
17,17,1,0,magnussen,,MAG,http://en.wikipedia.org/wiki/Jan_Magnussen,Jan,Magnussen,1973-07-04,Danish,stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British
,-,0,0,nakano,,,http://en.wikipedia.org/wiki/Shinji_Nakano,Shinji,Nakano,1971-04-01,Japanese,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
,-,0,0,tuero,,,http://en.wikipedia.org/wiki/Esteban_Tuero,Esteban,Tuero,1978-04-22,Argentine,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
,-,0,0,rosset,,,http://en.wikipedia.org/wiki/Ricardo_Rosset,Ricardo,Rosset,1968-07-27,Brazilian,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
,-,0,0,takagi,,,http://en.wikipedia.org/wiki/Toranosuke_Takagi,Toranosuke,Takagi,1974-02-12,Japanese,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
,-,0,0,panis,,,http://en.wikipedia.org/wiki/Olivier_Panis,Olivier,Panis,1966-09-02,French,prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French
,-,0,0,verstappen,,,http://en.wikipedia.org/wiki/Jos_Verstappen,Jos,Verstappen,1972-03-04,Dutch,stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British
