driverId,url,givenName,familyName,dateOfBirth,nationality,code
abate,http://en.wikipedia.org/wiki/Carlo_Mario_Abate,Carlo,Abate,1932-07-10,Italian,
arundell,http://en.wikipedia.org/wiki/Peter_Arundell,Peter,Arundell,1933-11-08,British,
ashmore,http://en.wikipedia.org/wiki/Gerry_Ashmore,Gerry,Ashmore,1936-07-25,British,
baghetti,http://en.wikipedia.org/wiki/Giancarlo_Baghetti,Giancarlo,Baghetti,1934-12-25,Italian,
bandini,http://en.wikipedia.org/wiki/Lorenzo_Bandini,Lorenzo,Bandini,1935-12-21,Italian,
bianchi,http://en.wikipedia.org/wiki/Lucien_Bianchi,Lucien,Bianchi,1934-11-10,Belgian,BIA
bonnier,http://en.wikipedia.org/wiki/Joakim_Bonnier,Jo,Bonnier,1930-01-31,Swedish,
jack_brabham,http://en.wikipedia.org/wiki/Jack_Brabham,Jack,Brabham,1926-04-02,Australian,
burgess,http://en.wikipedia.org/wiki/Ian_Burgess,Ian,Burgess,1930-07-06,British,
bussinello,http://en.wikipedia.org/wiki/Roberto_Bussinello,Roberto,Bussinello,1927-10-04,Italian,
campbell-jones,http://en.wikipedia.org/wiki/John_Campbell-Jones,John,Campbell-Jones,1930-01-21,British,
chamberlain,http://en.wikipedia.org/wiki/Jay_Chamberlain,Jay,Chamberlain,1925-12-29,American,
clark,http://en.wikipedia.org/wiki/Jim_Clark,Jim,Clark,1936-03-04,British,
collomb,http://en.wikipedia.org/wiki/Bernard_Collomb,Bernard,Collomb,1930-10-07,French,
davis,http://en.wikipedia.org/wiki/Colin_Davis_(driver),Colin,Davis,1933-07-29,British,
beaufort,http://en.wikipedia.org/wiki/Carel_Godin_de_Beaufort,Carel Godin,de Beaufort,1934-04-10,Dutch,
estefano,http://en.wikipedia.org/wiki/Nasif_Est%C3%A9fano,Nasif,Estéfano,1932-11-18,Argentine,
ginther,http://en.wikipedia.org/wiki/Richie_Ginther,Richie,Ginther,1930-08-05,American,
greene,http://en.wikipedia.org/wiki/Keith_Greene,Keith,Greene,1938-01-05,British,
gregory,http://en.wikipedia.org/wiki/Masten_Gregory,Masten,Gregory,1932-02-29,American,
gurney,http://en.wikipedia.org/wiki/Dan_Gurney,Dan,Gurney,1931-04-13,American,
hall,http://en.wikipedia.org/wiki/Jim_Hall_(race_car_driver),Jim,Hall,1935-07-23,American,
harris,http://en.wikipedia.org/wiki/Mike_Harris_(race_car_driver),Mike,Harris,1939-05-25,South African,
hill,http://en.wikipedia.org/wiki/Graham_Hill,Graham,Hill,1929-02-15,British,
phil_hill,http://en.wikipedia.org/wiki/Phil_Hill,Phil,Hill,1927-04-20,American,
hocking,http://en.wikipedia.org/wiki/Gary_Hocking,Gary,Hocking,1937-09-30,Rhodesian,
ireland,http://en.wikipedia.org/wiki/Innes_Ireland,Innes,Ireland,1930-06-12,British,
johnstone,http://en.wikipedia.org/wiki/Bruce_Johnstone_(racing_driver),Bruce,Johnstone,1937-01-30,South African,
kuhnke,http://en.wikipedia.org/wiki/Kurt_Kuhnke,Kurt,Kuhnke,1910-04-30,German,
lederle,http://en.wikipedia.org/wiki/Neville_Lederle,Neville,Lederle,1938-09-25,South African,
